"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.","Fears for T ies pension after talks Unions constitute workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Giants.",0.00776517391204834,0.6312861442565918,2,1,2,74,"Successful"
"The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","The Racing is Around: Second Privately Group Sets Opened Times for Humane Spaceflight (SPACE.com) SATELLITE.kom - TORONTO, Montreal -- A second\machines of rocketeers competes for the  #36;10 billion Ansari X Prix, a defiant for\privately subsidies suborbital margin larceny, hectares formally advert the first\startup period for its desolate bombardments.",0.00225830078125,0.5970035195350647,3,0,3,611,"Successful"
"Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Company Wins Grant to Inquiry Peptides (AP) AP - A company founded by a chemistry researcher at the Academies of Louisville won a subsidize to develop a procedures of producing better peptides, which are short chains of amino acids, the consolidation blocks of proteins.",0.0014840960502624512,0.5719067454338074,3,0,3,226,"Successful"
"Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Prediction Unit Contributes Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.004538595676422119,0.6278055906295776,3,1,3,90,"Successful"
"Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Ambition to Limit Farm-Related Smoking (AP) AP - South California's smog-fighting agency entered after agenda of the bovine gamut Sunday, adopts the nation's first rules to reduce air pollution from dairy cow dirtbag.",0.0046836137771606445,0.6001967191696167,3,0,3,293,"Successful"
"Open Letter Against British Copyright Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British Author Instruction in Colleges The British Department for Education and Fitness (DfES) recently instituted a ""Music Blatant"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also tandem up with the music industry (IME, and innumerable artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools willingness now be deluded about the illegality of discharging music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when editorial to board representatives. But I impatience you find it favorable, and perhaps feel inspired to fait something similar, if or when the same thing has dawned in your area.",0.0035817623138427734,0.5123860836029053,3,2,3,640,"Successful"
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\","Looses the Battles on Terrorist \\""Sven Jaschan, self-confessed author of the Netsky and Sasser virus, is\upload for 70 p of viruses morbid in 2004, depending to a six-month\flu roundup edit Hoy by antivirus society Sophos.""\\""The 18-year-old Jaschan was harvested into incarcerated in Germany in May by cp who\avowed he enjoys licensed programmed both the Netsky and Sasser verses, something\specialty at Adobe verified. (another Adobe antivirus indemnity plan occasioned to the\teenager's apprehend.) Roundabout the five mio bygones Jaschan's entrapment, there\were at least 25 variant of Netsky and one of the port-scanning network maggot\Sasser.""\\""Graham Cluley, main engineering tips at Sophos, avowed it was staggeri ...\\",0.0011112093925476074,0.0017272233963012695,3,3,3,1135,"Failed"
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\","FOAFKey: FOAF, PGP, Primary Spread, and Flower Filtering \\FOAF/COOK  and bloom filter ont a batch of interesting objects for sympathetic\web and whitelist circulation.\\I supposing we can wiggle one layer firmer without and implicate GPG/OpenPGP elemental\fingerpring distribute in the FOAF folder for easy web-of-trust basis elemental\distributed.\\What if we used FOAF and taped the PGP elemental print(s) for identification?\These could signify a fate.  You insert the PGP elemental fingerprints within the FOAF\archives of your candid buddy and then consisted a bloom screened of the PGP elemental\printer of your unmitigated whitelist (the root FOAF deposits would of estrada require\to constitute encoded ).\\Your whitelist would represented populate from the societal grid as your recipient\detected nouveau identit ...\\",0.0012690424919128418,0.0019565820693969727,3,3,3,1500,"Failed"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.","E-mail scam targets detectives chief Wiltshire Police warns about ""phishing"" after its cheating squad chief was targeted.",0.016559720039367676,0.621938943862915,3,0,3,87,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated murals fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.03384608030319214,0.597293496131897,3,2,3,41,"Successful"
